competition_group,electric_utility,gas_utility,building_type,time,total_stock,ret_er_stock,remaining_stock,rob_stock,remaining_below_baseline_stock,remaining_baseline_stock,remaining_efficient_stock,remaining_top10_stock,ret_er_below_baseline_stock,ret_er_baseline_stock,ret_er_efficient_stock,ret_er_top10_stock,rob_below_baseline_stock,rob_baseline_stock,rob_efficient_stock,rob_top10_stock
refrigeration,test_utility_1,test_utility_1,multi_family,0,6000.0,1800.0,3600.0,600.0,720.0,900.0,1080.0,900.0,360.0,450.0,540.0,450.0,120.0,150.0,180.0,150.0
refrigeration,test_utility_1,test_utility_1,multi_family,1,6000.0,1800.0,3600.0,600.0,600.0,750.0,900.0,1350.0,355.2,444.0,532.8,468.0,117.6,147.0,176.4,159.0
refrigeration,test_utility_1,test_utility_1,multi_family,2,6000.0,1800.0,3600.0,600.0,500.0,625.0,750.0,1725.0,332.06399999999996,415.08,498.096,554.76,116.032,145.04,174.048,164.88
refrigeration,test_utility_1,test_utility_1,multi_family,3,6000.0,1799.9999999999998,3600.0,599.9999999999999,416.6666666666667,520.8333333333334,625.0,2037.5,300.2818133333333,375.35226666666665,450.42271999999997,673.9431999999999,108.47423999999998,135.59279999999998,162.71135999999998,193.2216
refrigeration,test_utility_1,test_utility_1,multi_family,4,6000.0,1799.9999999999995,3600.0,599.9999999999999,347.22222222222223,434.0277777777778,520.8333333333334,2297.9166666666665,265.62856248888886,332.0357031111111,398.44284373333323,803.8928906666665,98.0920590222222,122.61507377777777,147.1380885333333,232.15477866666663
refrigeration,test_utility_1,test_utility_1,multi_family,5,6000.0,1799.9999999999995,3600.0,599.9999999999999,289.35185185185185,361.6898148148149,434.0277777777778,2514.930555555555,231.41436452977774,289.2679556622222,347.1215467946666,932.1961330133331,86.7719970797037,108.46499634962962,130.15799561955552,274.605010951111
refrigeration,test_utility_1,test_utility_1,multi_family,6,5999.999999999999,1799.9999999999995,3600.0,599.9999999999998,241.12654320987656,301.4081790123458,361.6898148148149,2695.7754629629626,199.41602680143006,249.27003350178765,299.1240402021451,1052.1898994946368,75.59535907972739,94.49419884965926,113.39303861959107,316.5174034510221
refrigeration,test_utility_1,test_utility_1,multi_family,7,6000.0,1799.9999999999995,3600.0,599.9999999999999,200.93878600823047,251.17348251028815,301.4081790123458,2846.4795524691353,170.47289471191374,213.09111838989222,255.7093420678706,1160.726644830323,65.14256875513382,81.42821094391729,97.71385313270073,355.715367168248
refrigeration,test_utility_1,test_utility_1,multi_family,8,6000.0,1799.9999999999995,3600.0,599.9999999999999,167.44898834019207,209.31123542524014,251.17348251028815,2972.0662937242796,144.8654222131554,181.08177776644425,217.29813331973307,1256.7546667006668,55.68781227255849,69.60976534069812,83.53171840883772,391.17070397790553
refrigeration,test_utility_1,test_utility_1,multi_family,9,6000.0,1799.9999999999995,3600.0000000000005,599.9999999999998,139.54082361682674,174.42602952103346,209.31123542524014,3076.7219114369,122.55357390262687,153.1919673782836,183.8303608539403,1340.4240978651487,47.32270458963076,59.153380737038454,70.98405688444613,422.53985778888443
